100
ID;Titulo;Autor;Paginas;AñoPublicación;EjemplaresVendidos;Género
LIB0;Libro_0;Autor_6;141;1977;183400;politica
LIB1;Libro_1;Autor_6;824;1988;285800;thriller
LIB2;Libro_2;Autor_7;805;2055;278100;leyendas
LIB3;Libro_3;Autor_5;591;2105;344200;religion
LIB4;Libro_4;Autor_7;491;1914;340200;ensayo
LIB5;Libro_5;Autor_7;482;1931;221600;infantil
LIB6;Libro_6;Autor_3;547;2036;227100;leyendas
LIB7;Libro_7;Autor_5;1012;1977;179900;humor
LIB8;Libro_8;Autor_3;803;1921;282200;politica
LIB9;Libro_9;Autor_2;764;2051;321100;humor
LIB10;Libro_10;Autor_5;647;1954;216200;fotografia
LIB11;Libro_11;Autor_6;959;2033;324100;religion
LIB12;Libro_12;Autor_2;416;1945;169000;leyendas
LIB13;Libro_13;Autor_1;206;1950;244200;cine
LIB14;Libro_14;Autor_3;546;1915;339000;poesia
LIB15;Libro_15;Autor_6;450;1916;260100;gastronomia
LIB16;Libro_16;Autor_5;729;1933;158400;infantil
LIB17;Libro_17;Autor_2;940;2076;287600;poesia
LIB18;Libro_18;Autor_5;1044;1949;212600;gastronomia
LIB19;Libro_19;Autor_5;638;2028;158200;humor
LIB20;Libro_20;Autor_7;933;2025;213900;poesia
LIB21;Libro_21;Autor_6;1030;2087;180600;drama
LIB22;Libro_22;Autor_5;121;2055;242400;drama
LIB23;Libro_23;Autor_2;929;2087;307300;infantil
LIB24;Libro_24;Autor_3;1086;2000;266100;humor
LIB25;Libro_25;Autor_7;867;1965;307400;leyendas
LIB26;Libro_26;Autor_4;450;2060;244100;poesia
LIB27;Libro_27;Autor_4;530;2017;169100;juegos
LIB28;Libro_28;Autor_3;557;1997;325300;investigacion
LIB29;Libro_29;Autor_2;1009;1919;325800;fantasia
LIB30;Libro_30;Autor_4;522;2056;300600;biografia
LIB31;Libro_31;Autor_3;268;2010;209100;ciencia
LIB32;Libro_32;Autor_7;510;2069;312400;poesia
LIB33;Libro_33;Autor_5;583;2105;154100;ciencia
LIB34;Libro_34;Autor_3;391;1946;287400;ciencia
LIB35;Libro_35;Autor_6;121;2058;269900;cine
LIB36;Libro_36;Autor_5;381;2044;155300;humor
LIB37;Libro_37;Autor_5;1038;2010;328800;biografia
LIB38;Libro_38;Autor_7;828;2003;214800;biografia
LIB39;Libro_39;Autor_1;521;2020;211700;fotografia
LIB40;Libro_40;Autor_1;409;1926;243500;religion
LIB41;Libro_41;Autor_7;349;2029;305600;poesia
LIB42;Libro_42;Autor_4;324;1918;334400;gastronomia
LIB43;Libro_43;Autor_7;802;2105;198500;gastronomia
LIB44;Libro_44;Autor_5;623;2097;281400;investigacion
LIB45;Libro_45;Autor_1;300;1968;211800;biografia
LIB46;Libro_46;Autor_2;898;1991;308900;politica
LIB47;Libro_47;Autor_3;257;1982;312200;thriller
LIB48;Libro_48;Autor_6;138;2089;169000;investigacion
LIB49;Libro_49;Autor_5;291;1925;238800;investigacion
LIB50;Libro_50;Autor_1;302;1944;177200;religion
LIB51;Libro_51;Autor_4;746;2072;238600;poesia
LIB52;Libro_52;Autor_3;969;2052;334400;investigacion
LIB53;Libro_53;Autor_5;1098;2032;215100;cine
LIB54;Libro_54;Autor_2;657;1986;339200;poesia
LIB55;Libro_55;Autor_4;812;1910;201000;poesia
LIB56;Libro_56;Autor_4;961;1998;290100;ciencia
LIB57;Libro_57;Autor_5;523;1912;208500;humor
LIB58;Libro_58;Autor_7;188;1936;211700;ciencia
LIB59;Libro_59;Autor_4;1032;2079;165400;investigacion
LIB60;Libro_60;Autor_7;1076;2039;186800;infantil
LIB61;Libro_61;Autor_1;655;1944;204900;poesia
LIB62;Libro_62;Autor_2;245;1970;321800;ciencia
LIB63;Libro_63;Autor_7;523;1989;349600;humor
LIB64;Libro_64;Autor_7;649;1947;336600;ciencia
LIB65;Libro_65;Autor_7;295;2007;191600;ciencia
LIB66;Libro_66;Autor_3;588;1992;195500;poesia
LIB67;Libro_67;Autor_5;801;2026;217100;ciencia
LIB68;Libro_68;Autor_6;413;2065;268500;fotografia
LIB69;Libro_69;Autor_2;908;1942;244500;gastronomia
LIB70;Libro_70;Autor_4;421;2068;314600;infantil
LIB71;Libro_71;Autor_4;244;2106;172200;investigacion
LIB72;Libro_72;Autor_2;635;1960;267300;biografia
LIB73;Libro_73;Autor_6;759;2002;193900;juegos
LIB74;Libro_74;Autor_7;254;2020;224500;fotografia
LIB75;Libro_75;Autor_6;413;1984;152200;politica
LIB76;Libro_76;Autor_7;887;2015;345800;investigacion
LIB77;Libro_77;Autor_5;725;1987;191400;thriller
LIB78;Libro_78;Autor_7;434;1984;187200;thriller
LIB79;Libro_79;Autor_1;170;1997;179700;humor
LIB80;Libro_80;Autor_2;873;1980;326300;infantil
LIB81;Libro_81;Autor_3;1085;2012;198000;fotografia
LIB82;Libro_82;Autor_1;902;2009;202700;religion
LIB83;Libro_83;Autor_7;1024;1933;347200;ensayo
LIB84;Libro_84;Autor_7;103;1942;300500;religion
LIB85;Libro_85;Autor_3;131;2002;164200;ciencia
